state,occ_type,occ_salary,geography
Maryland,occ_150000,89010,state
Maryland,occ_170000,84860,state
Maryland,occ_190000,75080,state
Maryland,occ_210000,44670,state
Maryland,occ_230000,65500,state
Maryland,occ_250000,52740,state
Maryland,occ_270000,49010,state
Maryland,occ_290000,69340,state
Maryland,occ_310000,28550,state
Maryland,occ_330000,41870,state
Maryland,occ_350000,18980,state
Maryland,occ_370000,24390,state
Maryland,occ_390000,23000,state
Maryland,occ_410000,25070,state
Maryland,occ_430000,35320,state
Maryland,occ_450000,29370,state
Maryland,occ_470000,40840,state
Maryland,occ_490000,44770,state
Maryland,occ_510000,33850,state
Maryland,occ_530000,31440,state
Massachusetts,occ_110000,107020,state
Massachusetts,occ_130000,71130,state
Massachusetts,occ_150000,88100,state
Massachusetts,occ_170000,78980,state
Massachusetts,occ_190000,67090,state
Massachusetts,occ_210000,42860,state
Massachusetts,occ_230000,83370,state
Massachusetts,occ_250000,56620,state
Massachusetts,occ_270000,49470,state
Massachusetts,occ_290000,71440,state
Massachusetts,occ_310000,30440,state
Massachusetts,occ_330000,48530,state
Massachusetts,occ_350000,21870,state
Massachusetts,occ_370000,30300,state
Massachusetts,occ_390000,26090,state
Massachusetts,occ_410000,27850,state
Massachusetts,occ_430000,37840,state
Massachusetts,occ_450000,27280,state
Massachusetts,occ_470000,53790,state
Massachusetts,occ_490000,48360,state
Massachusetts,occ_510000,35300,state
Massachusetts,occ_530000,31990,state
Michigan,occ_110000,90820,state
Michigan,occ_130000,60580,state
Michigan,occ_150000,67970,state
Michigan,occ_170000,72990,state
Michigan,occ_190000,50790,state
Michigan,occ_210000,43320,state
Michigan,occ_230000,70940,state
Michigan,occ_250000,44470,state
Michigan,occ_270000,41340,state
Michigan,occ_290000,60140,state
Michigan,occ_310000,26050,state
Michigan,occ_330000,41570,state
Michigan,occ_350000,18760,state
Michigan,occ_370000,22950,state
Michigan,occ_390000,20790,state
Michigan,occ_410000,24760,state
Michigan,occ_430000,31190,state
Michigan,occ_450000,25220,state
Michigan,occ_470000,44240,state
Michigan,occ_490000,40490,state
Michigan,occ_510000,33340,state
Michigan,occ_530000,29750,state
Minnesota,occ_110000,95750,state
Minnesota,occ_130000,61390,state
Minnesota,occ_150000,75860,state
Minnesota,occ_170000,70330,state
Minnesota,occ_190000,59970,state
Minnesota,occ_210000,41170,state
Minnesota,occ_230000,77070,state
Minnesota,occ_250000,45150,state
Minnesota,occ_270000,44210,state
Minnesota,occ_290000,64350,state
Minnesota,occ_310000,27010,state
Minnesota,occ_330000,38970,state
Minnesota,occ_350000,18710,state
Minnesota,occ_370000,23790,state
Minnesota,occ_390000,22470,state
Minnesota,occ_410000,26270,state
Minnesota,occ_430000,34660,state
Minnesota,occ_450000,28440,state
Minnesota,occ_470000,49860,state
Minnesota,occ_490000,43350,state
Minnesota,occ_510000,33730,state
Minnesota,occ_530000,32510,state
Mississippi,occ_110000,70710,state
Mississippi,occ_130000,50380,state
Mississippi,occ_150000,57680,state
Mississippi,occ_170000,61490,state
Mississippi,occ_190000,51510,state
Mississippi,occ_210000,34730,state
Mississippi,occ_230000,48370,state
Mississippi,occ_250000,37720,state
Mississippi,occ_270000,34320,state
Mississippi,occ_290000,48770,state
Mississippi,occ_310000,21190,state
Mississippi,occ_330000,26810,state
Mississippi,occ_350000,18060,state
Mississippi,occ_370000,19140,state
Mississippi,occ_390000,18640,state
Mississippi,occ_410000,20920,state
Mississippi,occ_430000,27250,state
Mississippi,occ_450000,29010,state
Mississippi,occ_470000,32910,state
Mississippi,occ_490000,34750,state
Mississippi,occ_510000,28290,state
Mississippi,occ_530000,26040,state
Missouri,occ_110000,81560,state
Missouri,occ_130000,56680,state
Missouri,occ_150000,70430,state
Missouri,occ_170000,69410,state
Missouri,occ_190000,53780,state
Missouri,occ_210000,36250,state
Missouri,occ_230000,68250,state
Missouri,occ_250000,40540,state
Missouri,occ_270000,37720,state
Missouri,occ_290000,52650,state
Missouri,occ_310000,23340,state
Missouri,occ_330000,31470,state
Missouri,occ_350000,18460,state
Missouri,occ_370000,22040,state
Missouri,occ_390000,19290,state
Missouri,occ_410000,23220,state
Missouri,occ_430000,30070,state
Missouri,occ_450000,22440,state
Missouri,occ_470000,47050,state
Missouri,occ_490000,38510,state
Missouri,occ_510000,30230,state
Missouri,occ_530000,28920,state
Montana,occ_110000,71700,state
Montana,occ_130000,50700,state
Montana,occ_150000,53280,state
Montana,occ_170000,61080,state
Montana,occ_190000,47250,state
Montana,occ_210000,33570,state
Montana,occ_230000,48680,state
Montana,occ_250000,38240,state
Montana,occ_270000,28510,state
Montana,occ_290000,56020,state
Montana,occ_310000,25390,state
Montana,occ_330000,35590,state
Montana,occ_350000,18780,state
Montana,occ_370000,22050,state
Montana,occ_390000,21550,state
Montana,occ_410000,23370,state
Montana,occ_430000,28300,state
Montana,occ_450000,27720,state
Montana,occ_470000,41500,state
Montana,occ_490000,38390,state
Montana,occ_510000,30970,state
Montana,occ_530000,31760,state
Nebraska,occ_110000,84920,state
Nebraska,occ_130000,56890,state
Nebraska,occ_150000,67730,state
Nebraska,occ_170000,63160,state
Nebraska,occ_190000,52600,state
Nebraska,occ_210000,32530,state
Nebraska,occ_230000,57370,state
Nebraska,occ_250000,42160,state
Nebraska,occ_270000,35790,state
Nebraska,occ_290000,52880,state
Nebraska,occ_310000,25700,state
Nebraska,occ_330000,36260,state
Nebraska,occ_350000,18370,state
Nebraska,occ_370000,21810,state
Nebraska,occ_390000,20140,state
Nebraska,occ_410000,23860,state
Nebraska,occ_430000,29040,state
Nebraska,occ_450000,27540,state
Nebraska,occ_470000,35080,state
Nebraska,occ_490000,38660,state
Nebraska,occ_510000,30230,state
Nebraska,occ_530000,29840,state
Nevada,occ_110000,85190,state
Nevada,occ_130000,56970,state
Nevada,occ_150000,69110,state
Nevada,occ_170000,70530,state
Nevada,occ_190000,59320,state
Nevada,occ_210000,47140,state
Nevada,occ_230000,76490,state
Nevada,occ_250000,46590,state
