cbsa,occ_type,occ_salary,cbsa_name,geography
11700,occ_250000,38470,"Asheville, NC",metro
11700,occ_270000,34000,"Asheville, NC",metro
11700,occ_290000,57470,"Asheville, NC",metro
11700,occ_310000,24560,"Asheville, NC",metro
11700,occ_330000,32020,"Asheville, NC",metro
11700,occ_350000,18860,"Asheville, NC",metro
11700,occ_370000,21790,"Asheville, NC",metro
11700,occ_390000,21100,"Asheville, NC",metro
11700,occ_410000,23770,"Asheville, NC",metro
11700,occ_430000,29200,"Asheville, NC",metro
11700,occ_450000,24010,"Asheville, NC",metro
11700,occ_470000,32930,"Asheville, NC",metro
11700,occ_490000,37610,"Asheville, NC",metro
11700,occ_510000,32450,"Asheville, NC",metro
11700,occ_530000,27090,"Asheville, NC",metro
12020,occ_110000,74900,"Athens-Clarke County, GA",metro
12020,occ_130000,49410,"Athens-Clarke County, GA",metro
12020,occ_150000,59310,"Athens-Clarke County, GA",metro
12020,occ_170000,61680,"Athens-Clarke County, GA",metro
12020,occ_190000,40000,"Athens-Clarke County, GA",metro
12020,occ_210000,35480,"Athens-Clarke County, GA",metro
12020,occ_230000,58260,"Athens-Clarke County, GA",metro
12020,occ_250000,32760,"Athens-Clarke County, GA",metro
12020,occ_270000,35660,"Athens-Clarke County, GA",metro
12020,occ_290000,57100,"Athens-Clarke County, GA",metro
12020,occ_310000,23430,"Athens-Clarke County, GA",metro
12020,occ_330000,35630,"Athens-Clarke County, GA",metro
12020,occ_350000,18190,"Athens-Clarke County, GA",metro
12020,occ_370000,19840,"Athens-Clarke County, GA",metro
12020,occ_390000,19110,"Athens-Clarke County, GA",metro
12020,occ_410000,20150,"Athens-Clarke County, GA",metro
12020,occ_430000,27560,"Athens-Clarke County, GA",metro
12020,occ_450000,22710,"Athens-Clarke County, GA",metro
12020,occ_470000,33590,"Athens-Clarke County, GA",metro
12020,occ_490000,36740,"Athens-Clarke County, GA",metro
12020,occ_510000,30620,"Athens-Clarke County, GA",metro
12020,occ_530000,23640,"Athens-Clarke County, GA",metro
12060,occ_110000,102320,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_130000,64450,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_150000,77710,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_170000,72600,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_190000,58830,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_210000,38800,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_230000,77640,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_250000,45920,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_270000,44960,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_290000,61510,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_310000,25740,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_330000,31160,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_350000,18470,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_370000,22730,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_390000,20420,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_410000,27030,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_430000,32380,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_450000,23960,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_470000,35810,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_490000,40880,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_510000,28480,"Atlanta-Sandy Springs-Marietta, GA",metro
12060,occ_530000,29430,"Atlanta-Sandy Springs-Marietta, GA",metro
12100,occ_110000,101390,"Atlantic City-Hammonton, NJ",metro
12100,occ_130000,63240,"Atlantic City-Hammonton, NJ",metro
12100,occ_150000,87110,"Atlantic City-Hammonton, NJ",metro
12100,occ_170000,81350,"Atlantic City-Hammonton, NJ",metro
12100,occ_190000,73490,"Atlantic City-Hammonton, NJ",metro
12100,occ_210000,47030,"Atlantic City-Hammonton, NJ",metro
12100,occ_230000,86860,"Atlantic City-Hammonton, NJ",metro
12100,occ_250000,56550,"Atlantic City-Hammonton, NJ",metro
12100,occ_270000,57710,"Atlantic City-Hammonton, NJ",metro
12100,occ_290000,70920,"Atlantic City-Hammonton, NJ",metro
12100,occ_310000,28070,"Atlantic City-Hammonton, NJ",metro
12100,occ_330000,35750,"Atlantic City-Hammonton, NJ",metro
12100,occ_350000,20900,"Atlantic City-Hammonton, NJ",metro
12100,occ_370000,24850,"Atlantic City-Hammonton, NJ",metro
12100,occ_390000,19450,"Atlantic City-Hammonton, NJ",metro
12100,occ_410000,23770,"Atlantic City-Hammonton, NJ",metro
