census_id,occ_type,occ_salary,geography
12980,occ_350000,18520,Metro
12980,occ_370000,23860,Metro
12980,occ_390000,18730,Metro
12980,occ_410000,22010,Metro
12980,occ_430000,30140,Metro
12980,occ_470000,42960,Metro
12980,occ_490000,39530,Metro
12980,occ_510000,31980,Metro
12980,occ_530000,29600,Metro
13020,occ_110000,78050,Metro
13020,occ_130000,51210,Metro
13020,occ_150000,51360,Metro
13020,occ_170000,70680,Metro
13020,occ_210000,44310,Metro
13020,occ_230000,67550,Metro
13020,occ_250000,60500,Metro
13020,occ_270000,36520,Metro
13020,occ_290000,59710,Metro
13020,occ_310000,24040,Metro
13020,occ_330000,40710,Metro
13020,occ_350000,18380,Metro
13020,occ_370000,24250,Metro
13020,occ_390000,19600,Metro
13020,occ_410000,20950,Metro
13020,occ_430000,28630,Metro
13020,occ_450000,19440,Metro
13020,occ_470000,37270,Metro
13020,occ_490000,35610,Metro
13020,occ_510000,31890,Metro
13020,occ_530000,23600,Metro
13140,occ_110000,82320,Metro
13140,occ_130000,60680,Metro
13140,occ_150000,61790,Metro
13140,occ_170000,88040,Metro
13140,occ_190000,66160,Metro
13140,occ_210000,38370,Metro
13140,occ_230000,56600,Metro
13140,occ_250000,44020,Metro
13140,occ_270000,32670,Metro
13140,occ_290000,51040,Metro
13140,occ_310000,23880,Metro
13140,occ_330000,38250,Metro
13140,occ_350000,17990,Metro
13140,occ_370000,19760,Metro
13140,occ_390000,17920,Metro
13140,occ_410000,23150,Metro
13140,occ_430000,28670,Metro
13140,occ_450000,42630,Metro
13140,occ_470000,43190,Metro
13140,occ_490000,43870,Metro
13140,occ_510000,45070,Metro
13140,occ_530000,30380,Metro
13380,occ_110000,87160,Metro
13380,occ_130000,58480,Metro
13380,occ_150000,67690,Metro
13380,occ_170000,76980,Metro
13380,occ_190000,63190,Metro
13380,occ_210000,40040,Metro
13380,occ_230000,65530,Metro
13380,occ_250000,45730,Metro
13380,occ_270000,35860,Metro
13380,occ_290000,61140,Metro
13380,occ_310000,28830,Metro
13380,occ_330000,64280,Metro
13380,occ_350000,21370,Metro
13380,occ_370000,26110,Metro
13380,occ_390000,22750,Metro
13380,occ_410000,26290,Metro
13380,occ_430000,33700,Metro
13380,occ_450000,36150,Metro
13380,occ_470000,46130,Metro
13380,occ_490000,46710,Metro
13380,occ_510000,33620,Metro
13380,occ_530000,31430,Metro
13460,occ_110000,76330,Metro
13460,occ_130000,53520,Metro
13460,occ_150000,60550,Metro
13460,occ_170000,64510,Metro
13460,occ_190000,51040,Metro
13460,occ_210000,38100,Metro
13460,occ_230000,64210,Metro
13460,occ_250000,45030,Metro
13460,occ_270000,36090,Metro
13460,occ_290000,77210,Metro
13460,occ_310000,33400,Metro
13460,occ_330000,49550,Metro
13460,occ_350000,20130,Metro
13460,occ_370000,25270,Metro
13460,occ_390000,22010,Metro
13460,occ_410000,25550,Metro
13460,occ_430000,31230,Metro
13460,occ_450000,26910,Metro
13460,occ_470000,43780,Metro
13460,occ_490000,40430,Metro
13460,occ_510000,29980,Metro
13460,occ_530000,28520,Metro
13740,occ_110000,76980,Metro
13740,occ_130000,54870,Metro
13740,occ_150000,53100,Metro
13740,occ_170000,63760,Metro
13740,occ_190000,61410,Metro
13740,occ_210000,33800,Metro
13740,occ_230000,47100,Metro
13740,occ_250000,42270,Metro
13740,occ_270000,26930,Metro
13740,occ_290000,58920,Metro
13740,occ_310000,27000,Metro
13740,occ_330000,33800,Metro
13740,occ_350000,18770,Metro
13740,occ_370000,22180,Metro
13740,occ_390000,21370,Metro
13740,occ_410000,24910,Metro
13740,occ_430000,29300,Metro
13740,occ_450000,22010,Metro
13740,occ_470000,43040,Metro
13740,occ_490000,37920,Metro
13740,occ_510000,31830,Metro
13740,occ_530000,30750,Metro
13780,occ_110000,87300,Metro
13780,occ_130000,58500,Metro
13780,occ_150000,64840,Metro
13780,occ_170000,74030,Metro
13780,occ_190000,44290,Metro
13780,occ_210000,41150,Metro
13780,occ_230000,55570,Metro
13780,occ_250000,46620,Metro
13780,occ_270000,38980,Metro
13780,occ_290000,56980,Metro
